OTU	apr13_E_73	apr13_H2O_75	apr13_W_74	apr20_E_82	apr20_H2O_84	apr20_W_83	apr27_H2O_93	apr27_W_92	apr5_E_64	apr5_H2O_66	apr5_W_65	aug3_E_184	aug3_H2O_186	aug3_W_185	jul20_E_175	jul20_H2O_177	jul20_W_176	jul7_E_166	jul7_H2O_168	jul7_W_167	jun1_E_136	jun1_H2O_138	jun1_W_137	jun21_E_157	jun21_H2O_159	jun21_W_158	jun7_E_148	jun7_H2O_150	jun7_W_149	mar15_W_38	mar24_E_46	mar24_H2O_48	mar24_W_47	mar30_E_55	mar30_H2O_57	mar30_W_56	may10_E_109	may10_H2O_111	may10_W_110	may18_E_118	may18_H2O_120	may18_W_119	may25_E_127	may25_H2O_129	may25_W_128	may5_E_100	may5_W_101
ASV300	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	125	0	0	0	0	0	71	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0
ASV301	0	0	0	17	63	0	38	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	68	0	0	0	0	0	0	0	0	57	9	0	0	0	0	0	0	0	0	0
ASV302	0	0	0	0	0	0	59	0	0	0	0	0	2	0	0	0	0	0	40	0	0	0	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	7	163	0	0	0	0	5	0	0	42
ASV303	0	0	38	35	54	0	0	0	0	0	14	33	0	0	0	0	0	0	0	31	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	36	0	0
ASV304	15	0	0	34	0	0	0	123	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV305	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	57	0	0	0	0	0	47	0	0	32	0	27	0	0	36	0	17	0	29
ASV306	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	27	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	274
ASV307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV308	0	0	0	0	34	0	0	0	11	0	0	0	24	0	21	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0
ASV309	0	40	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV310	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0
ASV311	0	0	0	0	0	0	20	0	0	0	0	68	24	32	13	0	10	0	0	0	0	0	0	0	34	62	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0
ASV312	0	0	0	235	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV313	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	61	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	28	0	0	60	0	0	0	0	0	0	0	0	0	5	0	0	0	0	166	0	19	0	0
ASV315	31	0	0	0	0	0	0	15	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	32	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV316	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	77	0	0	58	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV317	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	102	4	0	4	0	0	83	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	24	0	0	0
ASV318	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	113	0	0	0	0	0	0	0	0	118	0	0	0	20	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	14	0	0
ASV319	0	0	0	0	0	0	61	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ASV321	0	0	0	61	0	49	0	15	48	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
ASV322	0	0	0	0	49	0	0	0	0	0	0	0	0	0	142	0	0	0	0	4	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV323	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	20	0	0	0	0	13	0	51	0	0
ASV324	0	0	6	30	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	14	0	12	0	0	12	142	37	0	4
ASV325	0	0	0	0	27	0	0	195	40	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ASV326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	11	173	0	0	0
ASV327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	10	0	0	0	2	0	0	0	0	21
ASV328	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	125	0	0	10	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	27	0	0	30	0	8	0	0
ASV329	0	0	0	0	187	0	24	0	46	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV331	0	0	0	0	0	0	0	16	69	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	99	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV332	0	0	0	0	0	0	0	73	0	44	0	0	0	0	0	0	0	0	0	34	0	0	29	54	0	0	0	0	0	0	0	0	0	0	16	0	6	18	0	0	0	0	0	0	0	0	0
ASV333	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	102	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0
