to,from,weight
ASV1207,ASV1173,0.513198242
ASV785,ASV133,5.53E-04
ASV347,ASV1173,0.755928946
ASV1878,ASV76,1
ASV98,ASV1141,1
ASV943,ASV932,1
ASV100,ASV30,0.114975568
ASV796,ASV1092,1
fa19522f4a04124c8aeb8b8247645879,54dd4aa26421356fd278e399d2603a0b,0.012399555
ASV392,07d8d1545671fcbe90bfbecd0552c767,0.998569692
ASV489,ASV414,0.073549206
ASV768,fa19522f4a04124c8aeb8b8247645879,3.84E-06
ASV865,ASV1173,0.755928946
ASV785,ASV489,1
ASV1209,ASV117,1
ASV328,ASV1016,0.999367544
5ab75def4e6aa82a790cbc92161365b1,f5e86a9841f8fb6613b42e1df9d229fa,1
ASV526,ASV392,0.755928946
ASV1842,ASV1141,1
ASV1173,f5e86a9841f8fb6613b42e1df9d229fa,0.601782201
ASV1969,f5e86a9841f8fb6613b42e1df9d229fa,1
