to,from,weight
ASV119,ASV1319,0.582488532
ASV227,ASV12,0.567816881
ASV27,ASV104,0.642718456
ASV1028,ASV293,0.02807567
ASV273,ASV55,0.627428571
ASV17,ASV98,4.873488498
ASV947,ASV23,0.459405084
ASV444,ASV294,0.649110329
ASV794,ASV77,1.264014608
ASV774,ASV773,1
d8afc147579e4912e2ee4c975e9374d2,ASV529,0.007349679
ASV794,951da216cb3423c01f473555ea9e8128,1
6598ffab6ef90f90ee7a86a9a16f5b82,ASV1108,5.077569055
ASV1278,ASV1299,0.022512402
ASV100,ASV1278,0.592886685
ASV1061,ASV1277,1
ASV288,ASV1919,1
ASV77,ASV12,4.412309639
ASV1082,ASV1462,1
ASV773,ASV44,0.00165929
ASV1558,ASV831,0.04813379
ASV947,ASV294,1
ASV1082,ASV1460,1
ASV785,ASV1299,0.004595839
ASV1108,ASV87,4.055096843
ASV576,ASV1809,1
ASV109,ASV1130,3.759709526
ASV1207,ASV87,4.223514154
ASV1319,ASV344,0.811652405
ASV1494,ASV98,3.151238325
ASV774,ASV1278,0.085420191
f829f7dd05af5b9ae70b3cb07c41bb7a,fa19522f4a04124c8aeb8b8247645879,0.607988327
ASV831,ASV787,1
ASV17,ASV81,0.567495349
ASV1732,ASV344,0.540654874
ASV1460,ASV23,0.459405084
ASV31,835f49fc13f0f9a859af009937925151,0.852236096
ccbef4f7fdf76aab7fed38193f0dbbb4,ASV1232,1
ASV106,ASV947,3.087387448
ASV106,ASV1096,3.087387448
ASV294,ASV66,5.0912117
ASV81,ASV794,2.586052159
ASV30,ASV344,0.811652405
ASV1019,ASV1922,0.004345655
54dd4aa26421356fd278e399d2603a0b,951da216cb3423c01f473555ea9e8128,0.85036211
ASV1518,ASV159,3.411054074
ASV995,ASV1919,1
ASV1028,ASV275,0.540654874
ASV8,c931b5b3c970964334341007cd402e96,3.889857496
ASV98,ASV23,0.465247939
ASV1809,ASV570,1
ASV420,ASV12,0.48691929
ASV1518,ASV30,1
ASV17,ASV74,4.118782475
f5e86a9841f8fb6613b42e1df9d229fa,ASV560,1
ASV1518,ASV1057,6.21E-04
ASV199,d8afc147579e4912e2ee4c975e9374d2,0.602189927
ASV1460,ASV294,1
c931b5b3c970964334341007cd402e96,ASV88,0.395071512
ASV119,ASV414,4.660968824
ASV831,ASV773,1
ASV1806,ASV1232,6.92E-04
ASV1249,ASV393,1.572766821
ASV773,ASV23,0.459405084
ASV785,ASV1278,1
ASV1028,ASV1094,1
ASV98,ASV1334,0.851655538
ASV133,ASV1299,0.641771355
ASV839,ASV23,0.584631937
ASV275,ASV839,4.776180361
ASV106,ASV1082,2.785978213
cd6b7936ba4c5252ce3773d276e695ac,ASV231,1
